Date	Description	Original Description	Amount	Transaction Type	Category	Account Name	Labels	Notes
3/7/14	ATM Withdrawal Broad	ATM WITHDRAWAL001708  03/07835 BROAD	100	debit	Cash & ATM	TOTAL CHECKING		
3/6/14	Duane Reade	Duane Reade 52 E 14TH NEW YORK NY    713428  03/06	8.48	debit	Pharmacy	TOTAL CHECKING		
3/5/14	Breads Bakery New	BREADS BAKERY NEW YORK NY03/03	9.22	debit	Coffee Shops	TOTAL CHECKING		
3/5/14	Check 1001	CHECK 1001	1200	debit	Mortgage & Rent	TOTAL CHECKING		
3/5/14	Cositas Ricas	COSITAS RICAS JACKSON HTS NY03/04	33.58	debit	Restaurants	TOTAL CHECKING		
3/5/14	Amazon	AmazonPrime Membersh amzn.com/prme NV        03/04	39	debit	Books	TOTAL CHECKING		
3/4/14	MTA	MTA VENDING MACHINES NEW YORK NY440734  03/04	112	debit	Public Transportation	TOTAL CHECKING		
3/3/14	Strand Books	STRAND BOOK STORE NEW YORK NY03/01	29.94	debit	Books	TOTAL CHECKING		
3/3/14	Walgreens	WALGREENS 145 4TH AVE NEW YORK NY    834806  03/01	15.77	debit	Pharmacy	TOTAL CHECKING		
3/3/14	Trader Joe's	TRADER JOE'S # 541 NEW YORK NY273209  03/01	10.32	debit	Groceries	TOTAL CHECKING		
3/3/14	Trader Joe's	TRADER JOE'S # 540 NEW YORK NY873600  03/01	34.22	debit	Groceries	TOTAL CHECKING		
3/3/14	ATM Cash Deposit 69 5th Avenue	ATM CASH DEPOSIT 03/03 69 5TH AVE NEW YORK NY	2000	credit	Income	TOTAL CHECKING		
3/3/14	Aroma Espresso Bar	AROMA ESPRESSO BAR - C NEW YORKNY           03/01	10.07	debit	Alcohol & Bars	TOTAL CHECKING		
3/3/14	Bean	PAYPAL *THE BEAN NEW YORK NY03/01	8.32	debit	Coffee Shops	TOTAL CHECKING		
3/3/14	Duane Reade	Duane Reade 52 E 14TH NEW YORK NY    137592  03/03	5.98	debit	Pharmacy	TOTAL CHECKING		
2/28/14	Breads Bakery New	BREADS BAKERY NEW YORK NY02/26	7.5	debit	Restaurants	TOTAL CHECKING		
2/26/14	Caracas Arepa Bar	CARACAS AREPA BAR 93 7T NEW YORKNY          02/25	26.59	debit	Alcohol & Bars	TOTAL CHECKING		
2/26/14	Starbucks	STARBUCKS #00825 NEW YO New YorkNY          02/25	3.76	debit	Coffee Shops	TOTAL CHECKING		
2/26/14	Ennju	ENNJU NEW YORK NY02/24	8	debit	Restaurants	TOTAL CHECKING		
2/25/14	Pecan	PECAN NEW YORK NY02/24	12.85	debit	Restaurants	TOTAL CHECKING		
2/25/14	Urban Outfitters	URBAN OUTFITTER URBAN NEW YORK NY    120547  02/25	211.84	debit	Clothing	TOTAL CHECKING		
2/25/14	Bagels More	BAGELS & MORE NEW YORK NY02/23	19.49	debit	Fast Food	TOTAL CHECKING		
2/25/14	Taim	TAIM NEW YORK NY02/23	10	debit	Restaurants	TOTAL CHECKING		
2/24/14	Garden Eden	GARDEN OF EDEN #3 NEW YORK NY105818  02/24	3.91	debit	Groceries	TOTAL CHECKING		
2/24/14	Associated Supermarket	ASSOCIATED SUPERMARKET BROOKLYNNY   434287  02/23	60.61	debit	Groceries	TOTAL CHECKING		
2/24/14	Dominique Ansel Bakery	DOMINIQUE ANSEL BAKERY NEW YORKNY           02/20	11.43	debit	Restaurants	TOTAL CHECKING		
2/24/14	Crumbs Downtown	CRUMBS DOWNTOWN NEW YORK NY02/21	3.81	debit	Coffee Shops	TOTAL CHECKING		
2/24/14	Aroma Espresso Bar	AROMA ESPRESSO BAR - C NEW YORKNY           02/22	10.07	debit	Alcohol & Bars	TOTAL CHECKING		
2/24/14	Bob Betty	BOB & BETTY`S BROOKLYN NY02/20	6.68	debit	Groceries	TOTAL CHECKING		
2/24/14	Famous Bagel Buffet	FAMOUS BAGEL BUFFET NEW YORK NY02/21	5.88	debit	Restaurants	TOTAL CHECKING		
2/21/14	Cablevision	CABLEVISION #7836 718-617-3500 NY            02/20	51.94	debit	Television	TOTAL CHECKING		
2/21/14	Gourmet Garage Broom	GOURMET GARAGE - BROOM NEW YORKNY   775951  02/21	9.78	debit	Parking	TOTAL CHECKING		
2/21/14	Dorado	DORADO NEW YORK NY02/20	6.8	debit	Fast Food	TOTAL CHECKING		
2/21/14	Ennju	ENNJU NEW YORK NY02/19	10.34	debit	Restaurants	TOTAL CHECKING		
2/20/14	Le Cirque	LE CIRQUE NEW YORK NY02/19	90.75	debit	Restaurants	TOTAL CHECKING		
2/20/14	MTA	MTA MVM*LEXINGTON AVE - NEW YORKNY          02/19	40	debit	Public Transportation	TOTAL CHECKING		
2/20/14	Barboncino	BARBONCINO BROOKLYN NY02/18	25.73	debit	Restaurants	TOTAL CHECKING		
2/19/14	ATM Cash Deposit 69 5th Avenue	ATM CASH DEPOSIT 02/19 69 5TH AVE NEW YORK NY	1000	credit	Income	TOTAL CHECKING		
2/18/14	Returned Item Fee	"RETURNED ITEM FEE FOR AN UNPAIDCHECK #1001 IN THE AMOUNT OF $1,"	34	debit	Fees & Charges	TOTAL CHECKING		
2/18/14	MTA	MTA MVM*FRANKLIN AVE & NEW YORKNY           02/14	20	debit	Public Transportation	TOTAL CHECKING		
2/18/14	Pumana Tretorn Com	PUMANA *TRETORN.COM 888-565-7862MA          02/17	58.62	debit	Clothing	TOTAL CHECKING		
2/18/14	American Ai	AMERICAN AI 00173571486 BELLEVUEWA          02/16	278	debit	Air Travel	TOTAL CHECKING		
2/18/14	Expedia	EXPEDIA*EXPEDIA.COM 877-787-7186NV          02/17	7	debit	Travel	TOTAL CHECKING		
2/18/14	Cargo Collective Ca	CARGO COLLECTIVE 213-290-0705 CA02/15	9	debit	Website Hosting	TOTAL CHECKING		
2/18/14	RadioShack	RADIOSHACK COR NEW YORK NY02/17	25.03	debit	Electronics & Software	TOTAL CHECKING		
2/18/14	Aroma Espresso Bar	AROMA ESPRESSO BAR - C NEW YORKNY           02/15	4.08	debit	Alcohol & Bars	TOTAL CHECKING		
2/18/14	Sq Cafe Clementine	SQ *CAFE CLEMENTINE New York NY02/14	13.06	debit	Restaurants	TOTAL CHECKING		
2/18/14	Umami Shoppu	UMAMI SHOPPU NEW YORK NY02/16	21.03	debit	Restaurants	TOTAL CHECKING		
2/18/14	Trader Joe's	TRADER JOE'S # 540 NEW YORK NY127960  02/16	49.16	debit	Groceries	TOTAL CHECKING		
2/14/14	Trader Joe's	TRADER JOE'S # 540 NEW YORK NY629238  02/14	24.43	debit	Groceries	TOTAL CHECKING		
2/14/14	Cafe Clementine	CAFE CLEMENTINE NEW YORK NY02/12	8.44	debit	Restaurants	TOTAL CHECKING		
2/14/14	New School Ny	THE NEW SCHOOL 212-229-5660 NY02/13	50	debit	Tuition	TOTAL CHECKING		
2/12/14	Counter	COUNTER CHECK	2	debit	Coffee Shops	TOTAL CHECKING		
2/12/14	Urban Outfitters	URBAN OUTFITTER URBAN NEW YORK NY    760211  02/12	9.99	debit	Clothing	TOTAL CHECKING		
2/12/14	Duane Reade	Duane Reade 52 E 14TH NEW YORK NY    904903  02/12	21.57	debit	Pharmacy	TOTAL CHECKING		
2/12/14	Blue Valley Deli	BLUE VALLEY DELI NEW YORK NY02/10	6.5	debit	Restaurants	TOTAL CHECKING		
2/12/14	Anthropologie	ANTHROPOLOGIE 4 ANTHRO NEW YORKNY   216171  02/12	8.6	debit	Clothing	TOTAL CHECKING		
2/11/14	Momofuku	MOMOFUKU NEW YORK NY02/08	76.24	debit	Restaurants	TOTAL CHECKING		
2/11/14	Cafe	CAFE 55       21117262 NEW YORKNY           02/10	4.01	debit	Restaurants	TOTAL CHECKING		
2/10/14	Compare Foods	COMPARE FOODS BROOKLYN NY183077  02/09	43.88	debit	Groceries	TOTAL CHECKING		
2/10/14	Murrys	MURRAYS BAGEL NEW YORK NY02/07	15.84	debit	Coffee Shops	TOTAL CHECKING		
2/10/14	MTA	MTA VENDING MACHINES NEW YORK NY493714  02/08	10	debit	Public Transportation	TOTAL CHECKING		
2/10/14	Ennju	ENNJU NEW YORK NY02/07	7.62	debit	Restaurants	TOTAL CHECKING		
2/10/14	Glaze Teriyaki Grill 139 4th Avenue	GLAZE TERIYAKI GRILL 139 4TH AVENY          02/05	20.69	debit	Restaurants	TOTAL CHECKING		
2/7/14	Trader Joe's	TRADER JOE'S # 541 NEW YORK NY726080  02/07	20.1	debit	Groceries	TOTAL CHECKING		
2/6/14	Whole Foods	WHOLE FOO 40East 14th New York NY            02/06	18.16	debit	Groceries	TOTAL CHECKING		
2/6/14	Century Theaters	CENTURY TWENTY ONE NEW YORK NY755245  02/06	146.4	debit	Movies & DVDs	TOTAL CHECKING		
2/6/14	National Grid	NATIONAL GRID 718-643-4050 NY02/05	81.72	debit	Utilities	TOTAL CHECKING		
2/5/14	ATM Cash Deposit 69 5th Avenue	ATM CASH DEPOSIT 02/05 69 5TH AVE NEW YORK NY	1000	credit	Income	TOTAL CHECKING		
2/5/14	Consolidated Edison	CON ED OF NY     INTELL CKPPD ID: 0135009340	54.57	debit	Utilities	TOTAL CHECKING		
2/4/14	ATM Cash Deposit	ATM CASH DEPOSIT 02/04 391 EASTERN PKWY BROOKLYN NY	1100	credit	Income	TOTAL CHECKING		
2/4/14	Murrys	MURRAYS BAGEL NEW YORK NY02/03	9.53	debit	Coffee Shops	TOTAL CHECKING		
2/3/14	Associated Supermarket	ASSOCIATED SUPERMARKET BROOKLYNNY           02/01 Purchase $63.	73.24	debit	Groceries	TOTAL CHECKING		
2/3/14	Associated Supermarket	ASSOCIATED SUPERMARKET BROOKLYNNY   011941  02/02	37.45	debit	Groceries	TOTAL CHECKING		
2/3/14	T-Mobile	T MOBILE 146 NEW YORK NY862038  02/03	50.77	debit	Mobile Phone	TOTAL CHECKING		
2/3/14	Associated Supermarket	ASSOCIATED SUPERMARKET BROOKLYNNY   242773  02/03	29.99	debit	Groceries	TOTAL CHECKING		
2/3/14	MTA	MTA VENDING MACHINES NEW YORK NY681513  02/02	112	debit	Public Transportation	TOTAL CHECKING		
2/3/14	Whole Foods	WHOLE FOODS MARK 40Eas New YorkNY   611166  02/03	9.98	debit	Groceries	TOTAL CHECKING		
1/28/14	Account Maintenance Fee	SERVICE FEE	12	debit	Bank Fee	TOTAL CHECKING		
1/23/14	Cablevision	CABLEVISION #7836 718-617-3500 NY            01/21	99.9	debit	Television	TOTAL CHECKING		
1/17/14	Incoming Domestic Wire	INCOMING DOMESTIC WIRE FEE	15	debit	Fees & Charges	TOTAL CHECKING		
1/17/14	Cargo Collective Ca	CARGO COLLECTIVE 213-290-0705 CA01/16	9	debit	Website Hosting	TOTAL CHECKING		
1/17/14	Chips Via Hsbc	"CHIPS CREDIT VIA: HSBC BANK USA,N.A./0108 B/O: EDITORA GLOBO SA"	336.39	credit	Income	TOTAL CHECKING
